Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
login_logout,Chrome 63.0.3239.132,,2018-02-07 18:24:23,2018-02-07 18:25:49,1m - 26.249s,FAILED
,,,,,,
Test Cases/001_login_email_successful,Chrome 63.0.3239.132,,2018-02-07 18:24:23,2018-02-07 18:24:34,10.705s,PASSED
autoKeywords.goToHomepageMax.goToHomepage,Chrome 63.0.3239.132,,2018-02-07 18:24:24,2018-02-07 18:24:32,7.636s,PASSED
click,Chrome 63.0.3239.132,,2018-02-07 18:24:32,2018-02-07 18:24:32,0.274s,PASSED
setText,Chrome 63.0.3239.132,,2018-02-07 18:24:32,2018-02-07 18:24:33,0.586s,PASSED
setText,Chrome 63.0.3239.132,,2018-02-07 18:24:33,2018-02-07 18:24:33,0.241s,PASSED
click,Chrome 63.0.3239.132,,2018-02-07 18:24:33,2018-02-07 18:24:33,0.225s,PASSED
click,Chrome 63.0.3239.132,,2018-02-07 18:24:33,2018-02-07 18:24:33,0.115s,PASSED
waitForElementVisible,Chrome 63.0.3239.132,,2018-02-07 18:24:33,2018-02-07 18:24:34,0.585s,PASSED
click,Chrome 63.0.3239.132,,2018-02-07 18:24:34,2018-02-07 18:24:34,0.079s,PASSED
autoKeywords.verifyLoggedIn.verifyLogged,Chrome 63.0.3239.132,,2018-02-07 18:24:34,2018-02-07 18:24:34,0.185s,PASSED
,,,,,,
Test Cases/002_login_email_wrongpw,Chrome 63.0.3239.132,,2018-02-07 18:24:35,2018-02-07 18:24:42,7.203s,PASSED
autoKeywords.goToHomepageMax.goToHomepage,Chrome 63.0.3239.132,,2018-02-07 18:24:35,2018-02-07 18:24:40,5.395s,PASSED
click,Chrome 63.0.3239.132,,2018-02-07 18:24:40,2018-02-07 18:24:41,0.286s,PASSED
verifyElementVisible,Chrome 63.0.3239.132,,2018-02-07 18:24:41,2018-02-07 18:24:41,0.119s,PASSED
setText,Chrome 63.0.3239.132,,2018-02-07 18:24:41,2018-02-07 18:24:41,0.462s,PASSED
setText,Chrome 63.0.3239.132,,2018-02-07 18:24:41,2018-02-07 18:24:42,0.300s,PASSED
click,Chrome 63.0.3239.132,,2018-02-07 18:24:42,2018-02-07 18:24:42,0.173s,PASSED
verifyElementVisible,Chrome 63.0.3239.132,,2018-02-07 18:24:42,2018-02-07 18:24:42,0.034s,PASSED
waitForElementVisible,Chrome 63.0.3239.132,,2018-02-07 18:24:42,2018-02-07 18:24:42,0.063s,PASSED
click,Chrome 63.0.3239.132,,2018-02-07 18:24:42,2018-02-07 18:24:42,0.075s,PASSED
autoKeywords.verifyLoggedOut.verifyNotLogged,Chrome 63.0.3239.132,,2018-02-07 18:24:42,2018-02-07 18:24:42,0.156s,PASSED
,,,,,,
Test Cases/003_login_email_wrongpwformat,Chrome 63.0.3239.132,,2018-02-07 18:24:43,2018-02-07 18:24:50,6.891s,PASSED
autoKeywords.goToHomepageMax.goToHomepage,Chrome 63.0.3239.132,,2018-02-07 18:24:43,2018-02-07 18:24:48,5.374s,PASSED
click,Chrome 63.0.3239.132,,2018-02-07 18:24:48,2018-02-07 18:24:49,0.195s,PASSED
verifyElementVisible,Chrome 63.0.3239.132,,2018-02-07 18:24:49,2018-02-07 18:24:49,0.078s,PASSED
setText,Chrome 63.0.3239.132,,2018-02-07 18:24:49,2018-02-07 18:24:49,0.408s,PASSED
setText,Chrome 63.0.3239.132,,2018-02-07 18:24:49,2018-02-07 18:24:49,0.198s,PASSED
click,Chrome 63.0.3239.132,,2018-02-07 18:24:49,2018-02-07 18:24:49,0.179s,PASSED
verifyElementVisible,Chrome 63.0.3239.132,,2018-02-07 18:24:49,2018-02-07 18:24:49,0.032s,PASSED
waitForElementVisible,Chrome 63.0.3239.132,,2018-02-07 18:24:49,2018-02-07 18:24:49,0.045s,PASSED
click,Chrome 63.0.3239.132,,2018-02-07 18:24:49,2018-02-07 18:24:50,0.086s,PASSED
autoKeywords.verifyLoggedOut.verifyNotLogged,Chrome 63.0.3239.132,,2018-02-07 18:24:50,2018-02-07 18:24:50,0.133s,PASSED
,,,,,,
Test Cases/004_login_email_wrongemail,Chrome 63.0.3239.132,,2018-02-07 18:24:50,2018-02-07 18:24:58,7.075s,PASSED
autoKeywords.goToHomepageMax.goToHomepage,Chrome 63.0.3239.132,,2018-02-07 18:24:51,2018-02-07 18:24:56,5.383s,PASSED
click,Chrome 63.0.3239.132,,2018-02-07 18:24:56,2018-02-07 18:24:56,0.200s,PASSED
verifyElementVisible,Chrome 63.0.3239.132,,2018-02-07 18:24:56,2018-02-07 18:24:56,0.117s,PASSED
setText,Chrome 63.0.3239.132,,2018-02-07 18:24:56,2018-02-07 18:24:57,0.645s,PASSED
setText,Chrome 63.0.3239.132,,2018-02-07 18:24:57,2018-02-07 18:24:57,0.199s,PASSED
click,Chrome 63.0.3239.132,,2018-02-07 18:24:57,2018-02-07 18:24:57,0.143s,PASSED
verifyElementVisible,Chrome 63.0.3239.132,,2018-02-07 18:24:57,2018-02-07 18:24:57,0.033s,PASSED
waitForElementVisible,Chrome 63.0.3239.132,,2018-02-07 18:24:57,2018-02-07 18:24:57,0.040s,PASSED
click,Chrome 63.0.3239.132,,2018-02-07 18:24:57,2018-02-07 18:24:57,0.070s,PASSED
autoKeywords.verifyLoggedOut.verifyNotLogged,Chrome 63.0.3239.132,,2018-02-07 18:24:57,2018-02-07 18:24:58,0.109s,PASSED
,,,,,,
Test Cases/005_login_email_wrongemailformat,Chrome 63.0.3239.132,,2018-02-07 18:24:58,2018-02-07 18:25:05,7.217s,PASSED
autoKeywords.goToHomepageMax.goToHomepage,Chrome 63.0.3239.132,,2018-02-07 18:24:58,2018-02-07 18:25:04,5.796s,PASSED
click,Chrome 63.0.3239.132,,2018-02-07 18:25:04,2018-02-07 18:25:04,0.193s,PASSED
verifyElementVisible,Chrome 63.0.3239.132,,2018-02-07 18:25:04,2018-02-07 18:25:04,0.074s,PASSED
setText,Chrome 63.0.3239.132,,2018-02-07 18:25:04,2018-02-07 18:25:05,0.380s,PASSED
setText,Chrome 63.0.3239.132,,2018-02-07 18:25:05,2018-02-07 18:25:05,0.190s,PASSED
click,Chrome 63.0.3239.132,,2018-02-07 18:25:05,2018-02-07 18:25:05,0.170s,PASSED
verifyElementVisible,Chrome 63.0.3239.132,,2018-02-07 18:25:05,2018-02-07 18:25:05,0.034s,PASSED
waitForElementVisible,Chrome 63.0.3239.132,,2018-02-07 18:25:05,2018-02-07 18:25:05,0.042s,PASSED
click,Chrome 63.0.3239.132,,2018-02-07 18:25:05,2018-02-07 18:25:05,0.087s,PASSED
autoKeywords.verifyLoggedOut.verifyNotLogged,Chrome 63.0.3239.132,,2018-02-07 18:25:05,2018-02-07 18:25:05,0.114s,PASSED
,,,,,,
Test Cases/006_login_fb_loggedin,Chrome 63.0.3239.132,,2018-02-07 18:25:06,2018-02-07 18:25:22,15.605s,PASSED
openBrowser,Chrome 63.0.3239.132,,2018-02-07 18:25:06,2018-02-07 18:25:09,2.442s,PASSED
maximizeWindow,Chrome 63.0.3239.132,,2018-02-07 18:25:09,2018-02-07 18:25:10,1.122s,PASSED
navigateToUrl,Chrome 63.0.3239.132,,2018-02-07 18:25:10,2018-02-07 18:25:12,1.640s,PASSED
setText,Chrome 63.0.3239.132,,2018-02-07 18:25:12,2018-02-07 18:25:12,0.254s,PASSED
setText,Chrome 63.0.3239.132,,2018-02-07 18:25:12,2018-02-07 18:25:12,0.236s,PASSED
click,Chrome 63.0.3239.132,,2018-02-07 18:25:12,2018-02-07 18:25:15,3.091s,PASSED
delay,Chrome 63.0.3239.132,,2018-02-07 18:25:15,2018-02-07 18:25:18,3.013s,PASSED
navigateToUrl,Chrome 63.0.3239.132,,2018-02-07 18:25:18,2018-02-07 18:25:20,2.068s,PASSED
click,Chrome 63.0.3239.132,,2018-02-07 18:25:20,2018-02-07 18:25:20,0.179s,PASSED
waitForElementClickable,Chrome 63.0.3239.132,,2018-02-07 18:25:20,2018-02-07 18:25:21,0.110s,PASSED
click,Chrome 63.0.3239.132,,2018-02-07 18:25:21,2018-02-07 18:25:21,0.183s,PASSED
autoKeywords.verifyLoggedIn.verifyLogged,Chrome 63.0.3239.132,,2018-02-07 18:25:21,2018-02-07 18:25:22,1.134s,PASSED
,,,,,,
Test Cases/007_login_fb_notloggedin,Chrome 63.0.3239.132,,2018-02-07 18:25:23,2018-02-07 18:25:29,6.683s,FAILED
autoKeywords.goToHomepageMax.goToHomepage,Chrome 63.0.3239.132,,2018-02-07 18:25:23,2018-02-07 18:25:29,5.821s,PASSED
click,Chrome 63.0.3239.132,,2018-02-07 18:25:29,2018-02-07 18:25:29,0.201s,PASSED
waitForElementClickable,Chrome 63.0.3239.132,,2018-02-07 18:25:29,2018-02-07 18:25:29,0.052s,PASSED
click,Chrome 63.0.3239.132,,2018-02-07 18:25:29,2018-02-07 18:25:29,0.473s,FAILED
,,,,,,
Test Cases/008_login_fb_wrongpw,Chrome 63.0.3239.132,,2018-02-07 18:25:30,2018-02-07 18:25:42,11.515s,FAILED
autoKeywords.goToHomepageMax.goToHomepage,Chrome 63.0.3239.132,,2018-02-07 18:25:30,2018-02-07 18:25:35,4.853s,PASSED
click,Chrome 63.0.3239.132,,2018-02-07 18:25:35,2018-02-07 18:25:35,0.178s,PASSED
waitForElementClickable,Chrome 63.0.3239.132,,2018-02-07 18:25:35,2018-02-07 18:25:35,0.053s,PASSED
click,Chrome 63.0.3239.132,,2018-02-07 18:25:35,2018-02-07 18:25:36,0.148s,PASSED
switchToWindowTitle,Chrome 63.0.3239.132,,2018-02-07 18:25:36,2018-02-07 18:25:42,6.145s,FAILED
,,,,,,
Test Cases/009_logout,Chrome 63.0.3239.132,,2018-02-07 18:25:43,2018-02-07 18:25:48,5.637s,FAILED
callTestCase,Chrome 63.0.3239.132,,2018-02-07 18:25:43,2018-02-07 18:25:48,5.539s,FAILED
